Табельный номер руководителя,id,Вид образования,Специальность
,ОРГ2-05265,Высшее образование,Теплоэнергетика и теплотехника
ОРГ2-09100,ОРГ2-00729,Высшее образование,Финансы и кредит
ОРГ2-05294,ОРГ2-03119,Высшее образование,Командная тактическая вертолетная авиация
,ОРГ2-00060,Высшее образование - бакалавриат,Технология и предпринимательство
,ОРГ2-05235,Высшее образование,Безопасность жизнедеятельности в техносфере
,ОРГ2-07747,Высшее образование,Химия
,ОРГ2-05229,Высшее образование,Специалист в области охраны труда
,ОРГ2-07616,Высшее образование - бакалавриат,Техносферная безопасность
,ОРГ2-05200,Высшее образование,Техносферная безопасность
ОРГ2-03119,ОРГ2-04913,Высшее образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
,ОРГ2-05627,"Высшее образование - специалитет, магистратура",Экономическая безопасность
,ОРГ2-07569,Среднее профессиональное образование,Документационное обеспечение управления и архивоведение
,ОРГ2-05927,Основное общее образование,
,ОРГ2-08263,Среднее профессиональное образование,Экономика и бухгалтерский учет
,ОРГ2-06290,Высшее образование - бакалавриат,Психология
ОРГ2-05294,ОРГ2-05862,"Высшее образование - специалитет, магистратура","Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ"
ОРГ2-05294,ОРГ2-06774,Высшее образование,Национальная экономика
ОРГ2-06006,ОРГ2-06006,Высшее образование,Машины и аппараты химических производств
ОРГ2-06006,ОРГ2-05211,"Высшее образование - специалитет, магистратура",Экономика и управление на предприятии (по отраслям)
ОРГ2-06006,ОРГ2-06061,Высшее образование,Менеджмент
ОРГ2-06006,ОРГ2-06958,Высшее образование,Менеджер в социальной сфере
ОРГ2-06329,ОРГ2-06643,Среднее профессиональное образование,Менеджмент
ОРГ2-06329,ОРГ2-01388,Высшее образование,"Проектирование, сооружение и эксплуатация газонефтепроводов и газохранилищ"
ОРГ2-06329,ОРГ2-06329,"Высшее образование - специалитет, магистратура",Стандартизация и сертификация
ОРГ2-09100,ОРГ2-02779,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов
ОРГ2-09100,ОРГ2-07796,Высшее образование,Механизация сельского хозяйства
ОРГ2-09100,ОРГ2-02422,Высшее образование,Электрификация и автоматизация сельского хозяйства
ОРГ2-09100,ОРГ2-00599,Среднее профессиональное образование,Электроэнергетика и электротехника
ОРГ2-09100,ОРГ2-01930,Высшее образование - бакалавриат,Технологические машины и оборудование
ОРГ2-05294,ОРГ2-09230,"Высшее образование - специалитет, магистратура",Строительство
ОРГ2-05294,ОРГ2-00229,"Высшее образование - специалитет, магистратура",Бакалавр юриспруденции
,ОРГ2-09272,Высшее образование,Охрана окружающей среды и рациональное использование природных ресурсов
,ОРГ2-09162,"Высшее образование - специалитет, магистратура","Экономика и управление на предприятии топливно-энергетического комплекса"""
,ОРГ2-09275,Высшее образование,Экология и природопользование
,ОРГ2-09269,Высшее образование,Информатика и вычислительная техника
,ОРГ2-09274,Высшее образование,Финансы и кредит
,ОРГ2-09270,Высшее образование,Финансы и кредит
,ОРГ2-09122,"Высшее образование - специалитет, магистратура",Промышленное и гражданское строительство
,ОРГ2-04406,"Высшее образование - специалитет, магистратура",Нефтегазовое дело
,ОРГ2-09194,"Высшее образование - специалитет, магистратура",Технология геологической разведки
,ОРГ2-06791,Высшее образование,Водоснабжение и водоотведение
,ОРГ2-00454,Высшее образование,Промышленное и гражданское строительство
,ОРГ2-07861,Высшее образование - бакалавриат,Строительство
,ОРГ2-00591,Высшее образование,Механизация сельского хозяйства
ОРГ2-00477,ОРГ2-00872,Высшее образование - бакалавриат,Строительство
ОРГ2-00477,ОРГ2-09238,Среднее общее образование,
ОРГ2-00477,ОРГ2-09218,"Высшее образование - специалитет, магистратура",Зоотехния
ОРГ2-00477,ОРГ2-00477,Высшее образование - бакалавриат,Технология транспортных процессов
ОРГ2-00477,ОРГ2-04621,Высшее образование,Юриспруденция
ОРГ2-09100,ОРГ2-08441,"Высшее образование - специалитет, магистратура",Прикладная математика и информатика
ОРГ2-09100,ОРГ2-08025,Высшее образование,Антикризисное управление
ОРГ2-09100,ОРГ2-05140,Высшее образование,Международная экономика и управление персоналом
ОРГ2-09100,ОРГ2-07022,Профессиональное обучение,
ОРГ2-05294,ОРГ2-09178,,
ОРГ2-05294,ОРГ2-08778,Высшее образование,Менеджмент
ОРГ2-09100,ОРГ2-07791,"Высшее образование - специалитет, магистратура",Менеджмент
ОРГ2-09100,ОРГ2-09113,"Высшее образование - специалитет, магистратура",Управление персоналом
ОРГ2-09100,ОРГ2-07402,Высшее образование,Социально-культурная деятельность (по видам)
ОРГ2-09100,ОРГ2-06468,"Высшее образование - специалитет, магистратура",Управление персоналом
ОРГ2-09100,ОРГ2-05032,Высшее образование,Социально-культурный сервис и туризм
ОРГ2-09100,ОРГ2-08873,"Высшее образование - специалитет, магистратура","Бухгалтерский учет, анализ и аудит"
ОРГ2-09100,ОРГ2-09219,"Высшее образование - специалитет, магистратура",Дошкольная педагогика и психология
ОРГ2-09100,ОРГ2-09240,"Высшее образование - специалитет, магистратура",Психология
ОРГ2-09100,ОРГ2-08666,Высшее образование,Реклама
ОРГ2-09100,ОРГ2-07924,Высшее образование,Специалист по рекламе
ОРГ2-09100,ОРГ2-06413,"Высшее образование - специалитет, магистратура",Менеджер организации в области управления персоналом
ОРГ2-09100,ОРГ2-06471,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ2-09100,ОРГ2-05236,Высшее образование - бакалавриат,Менеджмент
ОРГ2-05294,ОРГ2-08440,Высшее образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
ОРГ2-05294,ОРГ2-07167,Высшее образование,Управление организацией и перрсоналом
ОРГ2-00166,ОРГ2-00166,Среднее профессиональное образование,Строительные машины и оборудование
ОРГ2-00166,ОРГ2-00603,"Высшее образование - специалитет, магистратура",Машиностроение
ОРГ2-00166,ОРГ2-04850,Высшее образование,Информационно-измерительная техника и технология
ОРГ2-02151,ОРГ2-03209,Среднее (полное) общее образование,
ОРГ2-02151,ОРГ2-05077,Среднее профессиональное образование,Почтовая связь
,ОРГ2-06563,Среднее профессиональное образование,Техническое обслуживание и ремонт автомобильного транспорта
,ОРГ2-00389,Высшее образование,
,ОРГ2-01214,Высшее образование,Гидромелиорация
,ОРГ2-05305,Неполное высшее образование,Нефтегазовое дело
,ОРГ2-05632,Среднее профессиональное образование,Производство неметаллических строительных изделий и конструкций
,ОРГ2-00147,Среднее профессиональное образование,Машины и технология литейного производства
,ОРГ2-03691,Среднее профессиональное образование,Автоматизация технологических процессов и производств
,ОРГ2-04878,Среднее профессиональное образование,Тракторист-машинист широкого профиля
ОРГ2-09100,ОРГ2-05202,Начальное профессиональное образование,Электроэнергетические системы и сети
,ОРГ2-00151,Высшее образование,Технологические машины и оборудование
,ОРГ2-01685,Среднее профессиональное образование,Промышленное и гражданское строительство
,ОРГ2-05168,Послевузовское образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
,ОРГ2-02206,Высшее образование,Электроснабжение (по отраслям)
,ОРГ2-05918,Среднее профессиональное образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
,ОРГ2-08927,"Высшее образование - специалитет, магистратура",Промышленное и гражданское строительство
,ОРГ2-08593,Высшее образование,Автоматизация технологических процессов и производств (по отраслям)
ОРГ2-09100,ОРГ2-05631,Начальное профессиональное образование,Электромонтер по ремонту и обслуживанию электрооборудования
ОРГ2-09100,ОРГ2-02685,Среднее профессиональное образование,Зоотехния
ОРГ2-09100,ОРГ2-00672,Основное общее образование,
ОРГ2-09100,ОРГ2-08551,Среднее общее образование,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08938,Среднее (полное) общее образование,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08644,Профессиональное обучение,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08287,Профессиональное обучение,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08635,Среднее профессиональное образование,
ОРГ2-09100,ОРГ2-08700,Профессиональное обучение,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-04784,Начальное профессиональное образование,Мастер общестроительных работ
ОРГ2-09100,ОРГ2-08118,Высшее образование,Автоматизация технологических процессов и производств
ОРГ2-09100,ОРГ2-05149,Начальное профессиональное образование,Аппаратчик - оператор
ОРГ2-09100,ОРГ2-07947,Профессиональное обучение,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08180,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
ОРГ2-09100,ОРГ2-05698,Среднее профессиональное образование,Сварщик
ОРГ2-09100,ОРГ2-07702,Среднее профессиональное образование,Производство неметаллических строительных изделий и конструкций
ОРГ2-09100,ОРГ2-05147,Начальное профессиональное образование,Электрогазосварщик
ОРГ2-09100,ОРГ2-08318,Профессиональное обучение,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08465,Профессиональное обучение,
ОРГ2-09100,ОРГ2-01088,Среднее общее образование,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08077,Профессиональное обучение,Монтажник по монтажу стальных и железобетонных конструкциий
ОРГ2-09100,ОРГ2-03160,Среднее общее образование,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-05174,Среднее (полное) общее образование,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-01952,Неполное высшее образование,Право и организация социального обеспечения
ОРГ2-09100,ОРГ2-08725,Среднее профессиональное образование,Станочник (металлообработка)
ОРГ2-09100,ОРГ2-08603,Среднее профессиональное образование,Монтаж и техническая эксплуатация промышленного оборудования (по отраслям)
ОРГ2-09100,ОРГ2-05175,Среднее профессиональное образование,Механизация сельского хозяйства
ОРГ2-09100,ОРГ2-06054,Среднее профессиональное образование,Слесарь-ремонтник
ОРГ2-09100,ОРГ2-08640,Высшее образование,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08775,Профессиональное обучение,Монтажник технологических трубопроводов
ОРГ2-09100,ОРГ2-04282,Среднее профессиональное образование,Ветеринария
ОРГ2-09100,ОРГ2-08316,Среднее профессиональное образование,Монтаажник технологических трубопроводов
ОРГ2-09100,ОРГ2-08673,Среднее профессиональное образование,Электромонтер по ремонту и обслуживанию электрооборудования
ОРГ2-09100,ОРГ2-02111,Среднее профессиональное образование,Сварщик
ОРГ2-09100,ОРГ2-04382,Начальное профессиональное образование,Электрогазосварщик
ОРГ2-09100,ОРГ2-08308,Профессиональное обучение,Монтажник по монтажу стальных и железобетонных конструкций
ОРГ2-09100,ОРГ2-05153,Среднее (полное) общее образование,Монтажник по монтажу стальных и железобетонных конструкциий
ОРГ2-09100,ОРГ2-08042,Профессиональное обучение,Бетонщик
ОРГ2-09100,ОРГ2-08065,Среднее профессиональное образование,Товароведение
ОРГ2-09100,ОРГ2-08120,Профессиональное обучение,Бетонщик
ОРГ2-09100,ОРГ2-07170,Высшее образование - бакалавриат,"Энергго и ресурсосберегающие процессы в хиимическкой технологии, нефтиххиимии и биотехнологии"
ОРГ2-09100,ОРГ2-07976,Высшее образование,Юриспруденция
ОРГ2-09100,ОРГ2-07502,Среднее общее образование,Бетонщик
ОРГ2-09100,ОРГ2-06447,Среднее профессиональное образование,Тракторист-машинист сельскохозяйственного производства
ОРГ2-09100,ОРГ2-06697,Среднее (полное) общее образование,Арматурщик
,ОРГ2-04605,Начальное профессиональное образование,
,ОРГ2-01087,Дополнительное профессиональное образование,Монтажник технологических трубопроводов
,ОРГ2-02408,Профессиональное обучение,
,ОРГ2-02481,Среднее профессиональное образование,Электромонтер по техническому обслуживанию электростанций и сетей
,ОРГ2-04394,Среднее общее образование,Электросварщик
,ОРГ2-05913,Среднее профессиональное образование,Электросварщик ручной дуговой сварки
,ОРГ2-04757,Среднее общее образование,Монтажник технологических трубопроводов
,ОРГ2-05009,Среднее профессиональное образование,тракторист машинист с/х производства
,ОРГ2-05858,Высшее образование,Государственное и муниципальное управление
,ОРГ2-03103,Высшее образование,Металлургия цветных металлов
,ОРГ2-05358,Высшее образование,Промышленное и гражданское строительство
,ОРГ2-01337,Высшее образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
,ОРГ2-01406,Начальное профессиональное образование,Электромонтер по облуживанию электрооборудования
,ОРГ2-02303,Среднее профессиональное образование,Финансы и кредит
,ОРГ2-01932,Среднее профессиональное образование,Пожарная безопасность
,ОРГ2-02150,Начальное профессиональное образование,Автоматизация технологических процессов и производств
,ОРГ2-06857,Высшее образование - бакалавриат,Нефтегазовое дело
,ОРГ2-07280,Среднее профессиональное образование,"Проектирование, сооружение и эксплуатация газонефтепроводов и газохранилищ"
,ОРГ2-06856,Высшее образование - бакалавриат,Машиностроение
,ОРГ2-00536,Среднее профессиональное образование,Оборудование химических и нефтегазоперерабатывающих заводов
,ОРГ2-04904,Высшее образование,Государственное и муниципальное управление
,ОРГ2-01162,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
,ОРГ2-02679,Среднее профессиональное образование,Строительство
,ОРГ2-04261,Профессиональное обучение,Монтажник технологических трубопроводов
,ОРГ2-02777,Высшее образование - бакалавриат,Государственное и муниципальное управление
,ОРГ2-04729,Среднее профессиональное образование,Мастер сухого строительства
,ОРГ2-02596,Среднее профессиональное образование,"Бухгалтерский учет, контроль и анализ хозяйственной деятельности в строительстве"
,ОРГ2-04107,Высшее образование,Техносферная безопасность
,ОРГ2-01628,Высшее образование,Экономика и управление на предприятии городского хозяйства
,ОРГ2-00725,"Высшее образование - специалитет, магистратура",Теплоэнергетика и теплотехника
,ОРГ2-00866,Высшее образование - бакалавриат,Машины и аппараты химических производств
,ОРГ2-02216,Высшее образование,Иностранный язык
,ОРГ2-08546,"Высшее образование - специалитет, магистратура",Автоматизация технологических процессов и производств (по отраслям)
,ОРГ2-06462,"Высшее образование - специалитет, магистратура",Специальные электромеханические системы
,ОРГ2-06190,"Высшее образование - специалитет, магистратура",Экономика и управление на предприятии (по отраслям)
,ОРГ2-08652,Среднее профессиональное образование,Производство авиационных двигателей
,ОРГ2-06736,Высшее образование - бакалавриат,Строительство
,ОРГ2-05411,Высшее образование,Физика и техника оптической связи
,ОРГ2-02262,Высшее образование,Строительство
,ОРГ2-00533,Высшее образование - бакалавриат,Технология транспортных процессов
,ОРГ2-04903,Высшее образование,Авиационная и ракетно-космическая техника
,ОРГ2-01657,Высшее образование - бакалавриат,Маляр
,ОРГ2-07556,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
,ОРГ2-07982,Неполное высшее образование,Строительство
,ОРГ2-07480,Среднее профессиональное образование,Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
,ОРГ2-03267,Среднее профессиональное образование,Монтаж и техническая эксплуатация промышленного оборудования (по отраслям)
,ОРГ2-05324,Высшее образование,Машины и аппараты химических производств
,ОРГ2-06062,"Высшее образование - специалитет, магистратура",Строительство
,ОРГ2-06123,Среднее профессиональное образование,Мастер производственного обучения
,ОРГ2-06124,Среднее профессиональное образование,Строительство
,ОРГ2-06144,Высшее образование,Экспертиза и управление недвижимостью
,ОРГ2-06145,Среднее профессиональное образование,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования (по отрас
,ОРГ2-06295,"Высшее образование - специалитет, магистратура",Оборудование и технология сварочного производства
,ОРГ2-06140,"Высшее образование - специалитет, магистратура",Теплоснабжение и вентиляция
,ОРГ2-05628,Среднее профессиональное образование,Строительство
,ОРГ2-06141,"Высшее образование - специалитет, магистратура",Промышленное и гражданское строительство
,ОРГ2-06142,Среднее профессиональное образование,Сервис
,ОРГ2-09285,Высшее образование,Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
,ОРГ2-01853,Высшее образование,Менеджмент организации
,ОРГ2-09212,"Высшее образование - специалитет, магистратура",Мехатроника и робототехника
,ОРГ2-06649,"Высшее образование - специалитет, магистратура",Прикладная геология
,ОРГ2-07333,"Высшее образование - специалитет, магистратура",Водоснабжение и водоотведение
,ОРГ2-09262,Высшее образование,Мастер общестроительных работ
,ОРГ2-09263,,
,ОРГ2-06122,Высшее образование,Организация работы с молодежью
,ОРГ2-09154,Высшее образование,Технологические машины и оборудование
,ОРГ2-07555,"Высшее образование - специалитет, магистратура",Финансы и кредит
,ОРГ2-09242,Среднее профессиональное образование,Слесарь по ремонту автомобилей
,ОРГ2-09221,Среднее профессиональное образование,Химическая технология
,ОРГ2-08743,Высшее образование - бакалавриат,Нефтегазовое дело
,ОРГ2-06444,Высшее образование - бакалавриат,Геодезия и дистанционное зондирование
,ОРГ2-06138,Высшее образование,Зоотехния
,ОРГ2-06485,Среднее профессиональное образование,Оценка стоимости предприятия (бизнеса)
,ОРГ2-06288,Среднее профессиональное образование,Разработка  и эксплуатация нефтяных и газовых месторождений
,ОРГ2-06390,Начальное профессиональное образование,Оператор по добыче нефти и газа
,ОРГ2-01590,"Высшее образование - специалитет, магистратура",Прикладная математика
,ОРГ2-09280,Высшее образование,Автоматизированные системы обработки информации и управления
,ОРГ2-06648,Среднее профессиональное образование,Управление персоналом
,ОРГ2-06166,Высшее образование,Нефтегазовое дело
,ОРГ2-08781,Высшее образование - бакалавриат,Землеустройство и кадастры
,ОРГ2-06224,"Высшее образование - специалитет, магистратура",Автоматика и управление в технических системах
,ОРГ2-09231,"Высшее образование - специалитет, магистратура",Менеджмент организации
,ОРГ2-06175,Высшее образование,Астрономогеодезия
,ОРГ2-06127,Высшее образование,Нефтегазовое дело
,ОРГ2-06125,Высшее образование - бакалавриат,Автоматизация и управление технологических процессов и производства
,ОРГ2-06738,"Высшее образование - специалитет, магистратура",Промышленное и гражданское строительство
,ОРГ2-07697,"Высшее образование - специалитет, магистратура",Картография
,ОРГ2-07062,Профессиональное обучение,
,ОРГ2-07591,Высшее образование,"Бухгалтерский учет, анализ и аудит"
,ОРГ2-06139,Высшее образование - бакалавриат,Землеустройство и кадастры
,ОРГ2-07751,"Высшее образование - специалитет, магистратура",Наземные транспортно-технологические средства
,ОРГ2-06227,Высшее образование,Теплоэнергетика и теплотехника
,ОРГ2-09286,Высшее образование,Экономика
,ОРГ2-06134,Среднее профессиональное образование,Прикладная геодезия
,ОРГ2-06137,Высшее образование,Природоохранное обустройство территорий
,ОРГ2-09281,Высшее образование,Фармация
,ОРГ2-06126,Среднее общее образование,
,ОРГ2-06135,Среднее профессиональное образование,Строительство и эксплуатация автомобильных дорог и аэродромов
,ОРГ2-05866,"Высшее образование - специалитет, магистратура","Бухгалтерский учет, анализ и аудит"
,ОРГ2-06424,Высшее образование - бакалавриат,Технологические машины и оборудование
,ОРГ2-06143,Высшее образование,Промышленное и гражданское строительство
,ОРГ2-09248,,
,ОРГ2-09237,"Высшее образование - специалитет, магистратура",Таможенное дело
,ОРГ2-09250,,
,ОРГ2-07557,Профессиональное обучение,
,ОРГ2-09245,,
,ОРГ2-06291,Высшее образование - бакалавриат,Психолого-педагогическое образование
,ОРГ2-06479,Среднее общее образование,
,ОРГ2-06773,"Высшее образование - специалитет, магистратура",магистр филология
,ОРГ2-07678,"Высшее образование - специалитет, магистратура",Таможенное дело
,ОРГ2-09244,Начальное профессиональное образование,Портной
,ОРГ2-09243,Среднее общее образование,
,ОРГ2-08525,Высшее образование,Государственное и муниципальное управление
,ОРГ2-09246,,
,ОРГ2-01852,Высшее образование,Разработка  и эксплуатация нефтяных и газовых месторождений
ОРГ2-09100,ОРГ2-05290,Высшее образование,Городской кадастр
ОРГ2-09100,ОРГ2-05975,Высшее образование,Промышленное и гражданское строительство
ОРГ2-09100,ОРГ2-01798,Среднее профессиональное образование,Геофизические методы поисков и разведки месторождений полезных ископаемых
ОРГ2-09100,ОРГ2-06726,Среднее профессиональное образование,Прикладная геодезия
ОРГ2-09100,ОРГ2-07227,Профессиональное обучение,
ОРГ2-09100,ОРГ2-02345,Среднее профессиональное образование,Прикладная геодезия
ОРГ2-09100,ОРГ2-04507,"Высшее образование - специалитет, магистратура",Командная тактическая
ОРГ2-09100,ОРГ2-01885,Высшее образование,"Геологическая съемка, поиски и разведка месторождений полезных ископаемых"
ОРГ2-09100,ОРГ2-09279,,
ОРГ2-09100,ОРГ2-01077,"Высшее образование - специалитет, магистратура",Астрономогеодезия
ОРГ2-00005,ОРГ2-02297,Высшее образование,Менеджмент
ОРГ2-00005,ОРГ2-01919,Высшее образование,Полупроводники и диэлектрики
ОРГ2-00005,ОРГ2-08055,Высшее образование,Машины и технология литейного производства
,ОРГ2-04375,Высшее образование,История
,ОРГ2-02661,Среднее профессиональное образование,Экономика
,ОРГ2-08387,Высшее образование,Автомобили и автомобильное хозяйство
,ОРГ2-02432,Высшее образование,Финансы и кредит
,ОРГ2-02913,"Высшее образование - специалитет, магистратура",Прикладная информатика в экономике
,ОРГ2-01130,"Высшее образование - специалитет, магистратура",Защита окружающей среды
,ОРГ2-01743,Начальное профессиональное образование,
,ОРГ2-06965,Среднее (полное) общее образование,
,ОРГ2-04396,Начальное профессиональное образование,Монтажник радиоаппаратуры и приборов
,ОРГ2-03252,Среднее (полное) общее образование,
,ОРГ2-02246,Среднее (полное) общее образование,
,ОРГ2-03356,Среднее общее образование,
,ОРГ2-03144,Высшее образование,Изобразительное искусство и черчение
,ОРГ2-02305,Среднее профессиональное образование,
,ОРГ2-04890,Начальное профессиональное образование,
,ОРГ2-02547,Высшее образование,Экономика и управление на предприятии (по отраслям)
,ОРГ2-05096,Среднее профессиональное образование,Экономика
,ОРГ2-03112,Среднее (полное) общее образование,
,ОРГ2-04897,Среднее профессиональное образование,"экономика, бухгалтерский учет (в строительстве)"
,ОРГ2-02312,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
,ОРГ2-02644,"Высшее образование - специалитет, магистратура",Менеджмент организации
,ОРГ2-01014,"Высшее образование - специалитет, магистратура",Юриспруденция
,ОРГ2-01460,Высшее образование,Организация перевозок и управления на транспорте (по видам)
,ОРГ2-02606,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
,ОРГ2-02371,Высшее образование,Менеджмент организации
,ОРГ2-03158,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
,ОРГ2-03060,Среднее общее образование,
,ОРГ2-06963,Высшее образование - бакалавриат,Машины и аппараты химических производств и предприятий строительных материалов
,ОРГ2-02546,Начальное профессиональное образование,
,ОРГ2-02699,Начальное профессиональное образование,Электрогазосварщик
,ОРГ2-06964,Высшее образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
ОРГ2-09100,ОРГ2-08886,Высшее образование,машины и оборудование нефтяных и газовых промыслов
ОРГ2-09100,ОРГ2-06253,Среднее профессиональное образование,Технология бродильных производств и виноделие
ОРГ2-09100,ОРГ2-01627,Среднее общее образование,
ОРГ2-09100,ОРГ2-06769,Среднее профессиональное образование,Переработка нефти и газа
ОРГ2-09100,ОРГ2-09075,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
ОРГ2-09100,ОРГ2-01942,Высшее образование,Аграномия
ОРГ2-09100,ОРГ2-02283,Высшее образование,Экономика и управление на предприятиях нефтяной и газовой промышленности
ОРГ2-09100,ОРГ2-08396,Высшее образование - бакалавриат,Юриспруденция
ОРГ2-09100,ОРГ2-00032,Высшее образование - бакалавриат,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
ОРГ2-09100,ОРГ2-01140,Среднее профессиональное образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
ОРГ2-09100,ОРГ2-00737,"Высшее образование - специалитет, магистратура",
ОРГ2-09100,ОРГ2-09198,Среднее общее образование,
ОРГ2-09100,ОРГ2-06220,Среднее профессиональное образование,Тепловые электрические станции
ОРГ2-09100,ОРГ2-08498,Среднее (полное) общее образование,
ОРГ2-09100,ОРГ2-00754,Среднее общее образование,
ОРГ2-09100,ОРГ2-08032,Среднее профессиональное образование,"Экономика, бухгалтерский учет и контроль"
,ОРГ2-03313,Высшее образование,Обеспечение экологической безопасности руководителями и спец. общехоз-х систем управления
,ОРГ2-07677,Высшее образование - бакалавриат,Экология и природопользование
,ОРГ2-04891,Высшее образование,Юриспруденция
,ОРГ2-02978,Высшее образование,Механизация сельского хозяйства
,ОРГ2-01168,Высшее образование,Штурманская тактическая авиационная
,ОРГ2-05930,Высшее образование - бакалавриат,Основы безопасности жизнедеятельности и физическая культура
,ОРГ2-05221,Высшее образование,Техносферная безопасность
,ОРГ2-05311,"Высшее образование - специалитет, магистратура",Геология
,ОРГ2-08392,Высшее образование - бакалавриат,Техносферная безопасность
,ОРГ2-05683,Высшее образование,Техносферная безопасность
,ОРГ2-05258,Высшее образование,Пожарная безопасность
ОРГ2-09100,ОРГ2-00592,Начальное профессиональное образование,
ОРГ2-09100,ОРГ2-01421,"Высшее образование - специалитет, магистратура",Технологические машины и оборудование
ОРГ2-09100,ОРГ2-02857,"Высшее образование - специалитет, магистратура",Машины и механизмы лесной и деревообрабатывающей промышленности
